TID: proposer-1-1740744149433, Client: client-1, Timestamp: 1740744149, Message: message client 1 (Iteração 1)
TID: proposer-1-1740744150519, Client: client-1, Timestamp: 1740744150, Message: message client 1 (Iteração 2)
TID: proposer-1-1740744151594, Client: client-1, Timestamp: 1740744151, Message: message client 1 (Iteração 3)
TID: proposer-1-1740744152673, Client: client-1, Timestamp: 1740744152, Message: message client 1 (Iteração 4)
TID: proposer-1-1740744153798, Client: client-1, Timestamp: 1740744153, Message: message client 1 (Iteração 5)
TID: proposer-1-1740744154882, Client: client-1, Timestamp: 1740744154, Message: message client 1 (Iteração 6)
TID: proposer-1-1740744155958, Client: client-1, Timestamp: 1740744155, Message: message client 1 (Iteração 7)
TID: proposer-1-1740744157037, Client: client-1, Timestamp: 1740744157, Message: message client 1 (Iteração 8)
TID: proposer-1-1740744158117, Client: client-1, Timestamp: 1740744158, Message: message client 1 (Iteração 9)
TID: proposer-1-1740744159208, Client: client-1, Timestamp: 1740744159, Message: message client 1 (Iteração 10)
TID: proposer-1-1740744164503, Client: client-1, Timestamp: 1740744164, Message: messa client 2 (Iteração 1)
TID: proposer-1-1740744165583, Client: client-1, Timestamp: 1740744165, Message: messa client 2 (Iteração 2)
TID: proposer-1-1740744166655, Client: client-1, Timestamp: 1740744166, Message: messa client 2 (Iteração 3)
TID: proposer-1-1740744167760, Client: client-1, Timestamp: 1740744167, Message: messa client 2 (Iteração 4)
TID: proposer-1-1740744168982, Client: client-1, Timestamp: 1740744168, Message: messa client 2 (Iteração 5)
TID: proposer-1-1740744170150, Client: client-1, Timestamp: 1740744170, Message: messa client 2 (Iteração 6)
TID: proposer-1-1740744171220, Client: client-1, Timestamp: 1740744171, Message: messa client 2 (Iteração 7)
TID: proposer-1-1740744172296, Client: client-1, Timestamp: 1740744172, Message: messa client 2 (Iteração 8)
TID: proposer-1-1740744173385, Client: client-1, Timestamp: 1740744173, Message: messa client 2 (Iteração 9)
TID: proposer-1-1740744174510, Client: client-1, Timestamp: 1740744174, Message: messa client 2 (Iteração 10)
TID: proposer-1-1740744181573, Client: client-1, Timestamp: 1740744181, Message: message client 3 (Iteração 1)
TID: proposer-1-1740744182653, Client: client-1, Timestamp: 1740744182, Message: message client 3 (Iteração 2)
TID: proposer-1-1740744183730, Client: client-1, Timestamp: 1740744183, Message: message client 3 (Iteração 3)
TID: proposer-1-1740744184816, Client: client-1, Timestamp: 1740744184, Message: message client 3 (Iteração 4)
TID: proposer-1-1740744185893, Client: client-1, Timestamp: 1740744185, Message: message client 3 (Iteração 5)
TID: proposer-1-1740744186977, Client: client-1, Timestamp: 1740744186, Message: message client 3 (Iteração 6)
TID: proposer-1-1740744188061, Client: client-1, Timestamp: 1740744188, Message: message client 3 (Iteração 7)
TID: proposer-1-1740744189187, Client: client-1, Timestamp: 1740744189, Message: message client 3 (Iteração 8)
TID: proposer-1-1740744190301, Client: client-1, Timestamp: 1740744190, Message: message client 3 (Iteração 9)
TID: proposer-1-1740744191381, Client: client-1, Timestamp: 1740744191, Message: message client 3 (Iteração 10)
TID: proposer-1-1740745015900, Client: client-1, Timestamp: 1740745011, Message: Message client 1
TID: proposer-1-1740745059246, Client: client-1, Timestamp: 1740745059, Message: message client 3 (Iteração 1)
TID: proposer-1-1740745059936, Client: client-1, Timestamp: 1740745059, Message: message client 2 (Iteração 1)
TID: proposer-1-1740745060423, Client: client-1, Timestamp: 1740745060, Message: message client 3 (Iteração 2)
TID: proposer-1-1740745060821, Client: client-1, Timestamp: 1740745060, Message: message client 1 (Iteração 1)
TID: proposer-1-1740745061065, Client: client-1, Timestamp: 1740745061, Message: message client 2 (Iteração 2)
TID: proposer-1-1740745061539, Client: client-1, Timestamp: 1740745061, Message: message client 3 (Iteração 3)
TID: proposer-1-1740745061933, Client: client-1, Timestamp: 1740745061, Message: message client 1 (Iteração 2)
TID: proposer-1-1740745062204, Client: client-1, Timestamp: 1740745062, Message: message client 2 (Iteração 3)
TID: proposer-1-1740745062646, Client: client-1, Timestamp: 1740745062, Message: message client 3 (Iteração 4)
TID: proposer-1-1740745063047, Client: client-1, Timestamp: 1740745063, Message: message client 1 (Iteração 3)
TID: proposer-1-1740745063325, Client: client-1, Timestamp: 1740745063, Message: message client 2 (Iteração 4)
TID: proposer-1-1740745063740, Client: client-1, Timestamp: 1740745063, Message: message client 3 (Iteração 5)
TID: proposer-1-1740745064148, Client: client-1, Timestamp: 1740745064, Message: message client 1 (Iteração 4)
TID: proposer-1-1740745064422, Client: client-1, Timestamp: 1740745064, Message: message client 2 (Iteração 5)
TID: proposer-1-1740745064837, Client: client-1, Timestamp: 1740745064, Message: message client 3 (Iteração 6)
TID: proposer-1-1740745065260, Client: client-1, Timestamp: 1740745065, Message: message client 1 (Iteração 5)
TID: proposer-1-1740745065541, Client: client-1, Timestamp: 1740745065, Message: message client 2 (Iteração 6)
TID: proposer-1-1740745065982, Client: client-1, Timestamp: 1740745065, Message: message client 3 (Iteração 7)
TID: proposer-1-1740745066364, Client: client-1, Timestamp: 1740745066, Message: message client 1 (Iteração 6)
TID: proposer-1-1740745066707, Client: client-1, Timestamp: 1740745066, Message: message client 2 (Iteração 7)
TID: proposer-1-1740745067136, Client: client-1, Timestamp: 1740745067, Message: message client 3 (Iteração 8)
TID: proposer-1-1740745067494, Client: client-1, Timestamp: 1740745067, Message: message client 1 (Iteração 7)
